aba	abaua
abac	abace
abac	abacele
abac	abacelor
abac	abacul
abac	abacului
abacă	abaca
abacă	abace
abacă	abacei
abacă	abacele
abacă	abacelor
abagiţă	abagiţa
abagiţă	abagiţe
abagiţă	abagiţei
batjocori	batjocorea
batjocori	batjocoreai
batjocori	batjocoream
batjocori	batjocorească
batjocori	batjocoreaţi
batjocori	batjocoreau
batjocori	batjocoresc
batjocori	batjocoreşte
batjocori	batjocoreşti
batjocori	batjocorii
batjocori	batjocorim
batjocori	batjocorind
batjocori	batjocorindu
batjocori	batjocoriră
batjocori	batjocorirăm
batjocori	batjocorirăţi
batjocori	batjocorise
batjocori	batjocorisem
batjocori	batjocoriseră
batjocori	batjocoriserăm
batjocori	batjocoriserăţi
batjocori	batjocoriseşi
batjocori	batjocorişi
batjocori	batjocorit
batjocori	batjocoriţi
batjocori	batjocoritu
batjocori	nebatjocorind
batjocori	nebatjocorindu
batjocori	nemaibatjocorind
batjocori	nemaibatjocorindu
